Id,Nro Víctimas,Año,Mes,Día,Hora,Tipo de calle,Cruce,Lugar del hecho,Comuna,Pos x,Pos y,Participantes,Víctima,Acusado,Rol,Sexo,Edad
2016-0015,1,2016,Febrero,Domingo,5,AVENIDA,SI,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,16
2016-0016,1,2016,Febrero,Domingo,22,AVENIDA,SI,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19
2016-0017,1,2016,Febrero,Lunes,16,AVENIDA,SI,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,59
2016-0019,1,2016,Febrero,Miércoles,9,CALLE,SI,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,65
2016-0020,1,2016,Febrero,Miércoles,16,CALLE,NO,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,59
2016-0021,1,2016,Febrero,Miércoles,23,AVENIDA,SI,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,34
2016-0022,1,2016,Febrero,Domingo,6,AVENIDA,SI,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41
2016-0025,1,2016,Febrero,Domingo,4,GRAL PAZ,SI,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34
2016-0026,1,2016,Febrero,Domingo,7,CALLE,SI,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,AUTO,CONDUCTOR,MASCULINO,30
2016-0027,1,2016,Febrero,Domingo,9,AVENIDA,SI,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34
2016-0028,1,2016,Marzo,Miércoles,10,AVENIDA,SI,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,50
2016-0029,1,2016,Marzo,Viernes,17,AVENIDA,SI,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38
2016-0031,1,2016,Marzo,Martes,12,GRAL PAZ,SI,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21
2016-0034,1,2016,Marzo,Sábado,12,AVENIDA,SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,52
2016-0035,1,2016,Marzo,Domingo,6,AVENIDA,SI,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34
2016-0036,1,2016,Marzo,Lunes,0,CALLE,SI,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,36
2016-0037,1,2016,Marzo,Sábado,11,AVENIDA,SI,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,20
2016-0038,1,2016,Marzo,Lunes,8,GRAL PAZ,SI,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,29
2016-0039,1,2016,Marzo,Miércoles,1,AVENIDA,SI,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,20
2016-0041,2,2016,Marzo,Martes,11,AVENIDA,SI,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,54
2016-0041,2,2016,Marzo,Martes,11,AVENIDA,SI,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,39
2016-0043,1,2016,Marzo,Miércoles,18,AVENIDA,SI,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,PEATON,FEMENINO,56
2016-0044,1,2016,Marzo,Jueves,19,AVENIDA,SI,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,CONDUCTOR,MASCULINO,24
2016-0045,1,2016,Abril,Lunes,10,GRAL PAZ,SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,39
2016-0047,1,2016,Abril,Viernes,5,CALLE,NO,LIMA 1483,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,41
2016-0048,1,2016,Abril,Viernes,17,AVENIDA,SI,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,50
2016-0049,1,2016,Abril,Domingo,0,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD-SD,MOTO,SD,CONDUCTOR,SD,30
2016-0050,1,2016,Abril,Martes,9,AVENIDA,SI,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,78
2016-0051,1,2016,Abril,Miércoles,4,AVENIDA,SI,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,36
2016-0052,1,2016,Abril,Miércoles,20,AUTOPISTA,NO,AUTOPISTA LUGONES PK 10000,13,0,0,MOTO-SD,MOTO,SD,CONDUCTOR,SD,30
2016-0053,1,2016,Abril,Viernes,9,AVENIDA,SI,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38
2016-0054,1,2016,Abril,Sábado,21,AUTOPISTA,SI,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30
2016-0055,1,2016,Abril,Lunes,20,AVENIDA,SI,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,79
2016-0056,1,2016,Abril,Martes,4,AVENIDA,NO,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,26
2016-0058,1,2016,Mayo,Miércoles,14,CALLE,NO,LIMA 1471,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,57
2016-0059,1,2016,Mayo,Domingo,16,CALLE,SI,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,37
2016-0064,1,2016,Mayo,Sábado,18,AVENIDA,SI,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,20
2016-0065,1,2016,Mayo,Viernes,14,AVENIDA,SI,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,20
2016-0067,1,2016,Mayo,Sábado,17,AVENIDA,SI,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,FEMENINO,30
2016-0068,1,2016,Mayo,Domingo,22,AVENIDA,SI,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,58
2016-0069,1,2016,Mayo,Lunes,3,AVENIDA,SI,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,30
2016-0073,1,2016,Junio,Sábado,15,CALLE,NO,"MAGARIÑOS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,23
2016-0074,1,2016,Junio,Domingo,6,GRAL PAZ,SI,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,60
2016-0075,1,2016,Junio,Domingo,23,AUTOPISTA,SI,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,42
2016-0076,1,2016,Junio,Lunes,16,AVENIDA,SI,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,53
2016-0077,1,2016,Junio,Lunes,21,AVENIDA,SI,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.37027770,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,50
2016-0078,1,2016,Junio,Lunes,23,AVENIDA,SI,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.61463830,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30
2016-0079,1,2016,Junio,Jueves,17,AVENIDA,SI,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,FEMENINO,51
2016-0080,1,2016,Junio,Sábado,6,GRAL PAZ,SI,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO-SD,AUTO,SD,CONDUCTOR,MASCULINO,60
2016-0081,1,2016,Junio,Miércoles,7,AVENIDA,SI,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.48721060,-34.55904606,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,40
2016-0082,1,2016,Junio,Lunes,18,AVENIDA,NO,LA PLATA AV. 2384,4,-58.42273092,-34.64228803,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,87
2016-0083,1,2016,Junio,Martes,20,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y PUAN",6,-58.44788671,-34.62539009,PEATON-MOTO,PEATON,MOTO,PEATON,FEMENINO,76
2016-0084,1,2016,Junio,Miércoles,22,CALLE,SI,"PELLEGRINI, CARLOS y TUCUMAN",1,-58.38110563,-34.60135531,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,57
2016-0085,1,2016,Junio,Miércoles,22,AVENIDA,SI,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",4,-58.42378834,-34.65734100,MOTO-MOVIL,MOTO,OTRO,CONDUCTOR,MASCULINO,39
2016-0086,1,2016,Junio,Jueves,16,AVENIDA,SI,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",10,-58.48727942,-34.63652467,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,75
2016-0087,1,2016,Julio,Sábado,0,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,1,-58.37864583,-34.62907067,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,23
2016-0088,1,2016,Julio,Lunes,15,CALLE,SI,CERETTI y NUÑEZ,12,-58.50151750,-34.56767549,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,70
2016-0089,1,2016,Julio,Jueves,6,AUTOPISTA,SI,"LUGONES, LEOPOLDO AV. y LA PAMPA",13,-58.43233425,-34.55185825,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,35
2016-0090,1,2016,Julio,Jueves,22,AVENIDA,SI,"SALGUERO, JERONIMO y RIVADAVIA AV.",5,-58.41971993,-34.61112240,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,60
2016-0092,1,2016,Julio,Viernes,11,GRAL PAZ,SI,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,24
2016-0093,1,2016,Julio,Domingo,3,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",6,-58.44362126,-34.62301748,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,35
2016-0095,1,2016,Julio,Sábado,6,AVENIDA,SI,MERCEDES y MOSCONI GENERAL AV.,11,-58.51713095,-34.59546519,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,29
2016-0096,1,2016,Julio,Lunes,7,AUTOPISTA,NO,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,39
2016-0097,1,2016,Julio,Martes,18,CALLE,SI,SOLIS y MEXICO,1,-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,80
2016-0098,1,2016,Julio,Miércoles,16,AVENIDA,SI,SAN JUAN AV. y ALBERTI,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,FEMENINO,43
2016-0099,1,2016,Julio,Viernes,16,GRAL PAZ,SI,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS,CONDUCTOR,MASCULINO,45
2016-0100,1,2016,Agosto,Miércoles,23,GRAL PAZ,SI,"PAZ, GRAL. AV. y DONADO",12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,57
2016-0101,1,2016,Agosto,Domingo,19,GRAL PAZ,SI,"PAZ, GRAL. AV. y CHAVEZ, JORGE",9,-58.52932872,-34.65014993,SD-SD,MOTO,SD,CONDUCTOR,MASCULINO,67
2016-0102,1,2016,Agosto,Miércoles,23,AVENIDA,SI,"PERON, EVA AV. y SUAREZ, JOSE LEON",9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,29
2016-0104,1,2016,Agosto,Domingo,21,AVENIDA,SI,ZINNY y SANTIAGO DE COMPOSTELA AV.,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21
2016-0105,1,2016,Agosto,Miércoles,0,AVENIDA,SI,"LACROZE, FEDERICO AV. y FRAGA",15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,19
2016-0106,1,2016,Agosto,Viernes,21,AVENIDA,SI,"PELLEGRINI, CARLOS y DEL LIBERTADOR AV.",1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38
2016-0107,1,2016,Agosto,Sábado,8,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y DON PEDRO DE MENDOZA AV.,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,21
2016-0109,1,2016,Agosto,Miércoles,5,AUTOPISTA,SI,AUTOPISTA PERITO MORENO y BARRAGAN,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,AUTO,CONDUCTOR,FEMENINO,53
2016-0110,1,2016,Agosto,Miércoles,20,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y CARHUE",9,-58.51232237,-34.65903530,PEATON-SD,PEATON,SD,PEATON,MASCULINO,57
2016-0111,1,2016,Agosto,Jueves,9,AUTOPISTA,SI,LUGONES y LA PAMPA,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,27
2016-0112,1,2016,Agosto,Sábado,4,AUTOPISTA,SI,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,24
2016-0113,1,2016,Agosto,Sábado,16,AVENIDA,SI,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,60
2016-0114,1,2016,Agosto,Miércoles,11,CALLE,NO,"SALGUERO, JERONIMO 1410",14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,FEMENINO,55
2016-0115,1,2016,Septiembre,Viernes,11,CALLE,SI,ARIAS y TRONADOR,12,-58.48935041,-34.54917673,SD-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,39
2016-0116,1,2016,Septiembre,Viernes,20,AVENIDA,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30
2016-0117,1,2016,Septiembre,Sábado,15,AVENIDA,SI,DEL LIBERTADOR AV. y TAGLE,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,43
2016-0118,1,2016,Septiembre,Domingo,3,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 2.9,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,27
2016-0119,1,2016,Septiembre,Domingo,6,AVENIDA,SI,"LARRALDE, CRISOLOGO AV. y TRIUNVIRATO AV.",12,-58.49659234,-34.56353635,SD-SD,MOTO,SD,PASAJERO_ACOMPAÑANTE,FEMENINO,50
2016-0122,1,2016,Septiembre,Martes,7,AVENIDA,NO,"PERON, EVA AV. 4233",9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,CICLISTA,MASCULINO,49
2016-0123,1,2016,Septiembre,Miércoles,9,AVENIDA,SI,"ASAMBLEA AV. y BONORINO, ESTEBAN, CNEL. AV.",7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,FEMENINO,58
2016-0124,1,2016,Septiembre,Viernes,15,AVENIDA,SI,RIVADAVIA AV. y RIVERA INDARTE AV.,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,67
2016-0125,1,2016,Septiembre,Sábado,12,AUTOPISTA,SI,"AUTOPISTA PERITO MORENO y ALBERDI, JUAN BAUTISTA AV.",10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30
2016-0126,2,2016,Septiembre,Domingo,22,CALLE,SI,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,CONDUCTOR,MASCULINO,37
2016-0126,2,2016,Septiembre,Domingo,22,CALLE,SI,IRIGOYEN y TINOGASTA,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS,PASAJERO_ACOMPAÑANTE,MASCULINO,60
2016-0127,1,2016,Septiembre,Sábado,10,AVENIDA,SI,"ACOSTA, MARIANO y ROCA, CNEL. AV.",8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,50
2016-0128,1,2016,Octubre,Domingo,11,AVENIDA,SI,CASTRO y PAVON AV.,5,-58.41914024,-34.63053890,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,81
2016-0130,1,2016,Octubre,Martes,12,AUTOPISTA,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y BRASIL,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,29
2016-0131,1,2016,Octubre,Domingo,19,CALLE,NO,MIRAVE 3500,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,35
2016-0132,1,2016,Octubre,Lunes,2,AVENIDA,SI,SAN JUAN AV. y 24 DE NOVIEMBRE,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,30
2016-0133,1,2016,Octubre,Viernes,0,AVENIDA,SI,LAS HERAS GENERAL AV. y SANCHEZ DE BUSTAMANTE,14,-58.40204698,-34.58342690,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,41
2016-0134,1,2016,Octubre,Domingo,5,AVENIDA,SI,PIEDRA BUENA AV. y 2 DE ABRIL DE 1982,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,MOTO,CONDUCTOR,MASCULINO,25
2016-0135,1,2016,Octubre,Lunes,5,AVENIDA,SI,"FIGUEROA ALCORTA, PRES. AV. y PINEDO, INT.",14,-58.42260225,-34.56403694,PEATON-SD,PEATON,SD,PEATON,MASCULINO,29
2016-0136,1,2016,Octubre,Martes,0,AUTOPISTA,NO,AU BUENOS AIRES - LA PLATA KM. 4,4,0,0,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,SD,30
2016-0137,1,2016,Octubre,Martes,0,AVENIDA,SI,SAN MARTIN AV. y LADINES,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO,CONDUCTOR,MASCULINO,30
2016-0138,1,2016,Octubre,Jueves,20,AVENIDA,SI,CABILDO AV. y BLANCO ENCALADA,13,-58.45909670,-34.55922742,BICICLETA-CARGAS,BICICLETA,CARGAS,CICLISTA,FEMENINO,33
2016-0139,1,2016,Octubre,Viernes,23,AVENIDA,SI,"FIGUEROA ALCORTA, PRES. AV. y DORREGO AV.",14,-58.42008769,-34.56539579,MOTO-MOTO,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,FEMENINO,35
2016-0140,1,2016,Octubre,Lunes,2,AVENIDA,SI,JURAMENTO AV. y VUELTA DE OBLIGADO,13,-58.45566399,-34.56147293,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,20
2016-0142,1,2016,Noviembre,Sábado,23,AVENIDA,SI,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,46
2016-0143,1,2016,Noviembre,Domingo,4,AVENIDA,SI,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO-SD,MOTO,SD,CONDUCTOR,MASCULINO,35
2016-0144,1,2016,Noviembre,Lunes,12,AVENIDA,NO,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,83
2016-0145,1,2016,Noviembre,Lunes,20,AVENIDA,SI,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,39
2016-0146,1,2016,Noviembre,Miércoles,20,AVENIDA,SI,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,29
2016-0147,1,2016,Noviembre,Miércoles,21,AVENIDA,SI,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,MOVIL,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,55
